gene_symbol	gene_dpi	gene_pli	protein_class	diseaseid	disease_semantic_type	score	ei	el	year_initial	year_final
SKI	0.808	0.99901		C0039685	Congenital Abnormality	0.1				
SKIV2L	0.654	1.2931e-22		C0039685	Congenital Abnormality	0.1				
BRCA1	0.923	9.2157e-29	DTO_05007624	C0039685	Congenital Abnormality	0.1				
BRAF	0.846	0.99995	DTO_03300101	C0039685	Congenital Abnormality	0.1				
BRCA2	0.846	2.3581e-25	DTO_05007557	C0039685	Congenital Abnormality	0.1				
TDGF1	0.731	9.1591e-11	DTO_05007616	C0039685	Congenital Abnormality	0.1				
NR2F2	0.692	0.98972	DTO_00102000	C0039685	Congenital Abnormality	0.1				
TGIF1	0.769	0.010454	DTO_05007624	C0039685	Congenital Abnormality	0.1				
TPM1	0.615	0.0010165	DTO_05007530	C0039685	Congenital Abnormality	0.1	1.0		2017	2017
UBE2A	0.692	0.815		C0039685	Congenital Abnormality	0.1				
SLC35A2	0.808	0.71792	DTO_05007405	C0039685	Congenital Abnormality	0.1				
MYRF	0.731	1.0		C0039685	Congenital Abnormality	0.1				
CLIP2	0.808	0.99997	DTO_05007530	C0039685	Congenital Abnormality	0.1				
WT1	0.808	0.99648	DTO_05007557	C0039685	Congenital Abnormality	0.1				
XRCC2	0.731	3.955e-07		C0039685	Congenital Abnormality	0.1				
ZIC2	0.769	0.97362	DTO_05007542	C0039685	Congenital Abnormality	0.1				
CXCR4	0.923	0.017804	DTO_02300001	C0039685	Congenital Abnormality	0.1				
CRELD1	0.269	1.3432e-11	DTO_05007616	C0039685	Congenital Abnormality	0.1				
PALB2	0.769	3.0379e-19		C0039685	Congenital Abnormality	0.1				
EHMT1	0.808	1.0	DTO_05007378	C0039685	Congenital Abnormality	0.1				
NAA25	0.692	1.0	DTO_05007624	C0039685	Congenital Abnormality	0.1	1.0		2013	2013
ALX1	0.462	0.17618		C0039685	Congenital Abnormality	0.1				
RBM10	0.615	1.0		C0039685	Congenital Abnormality	0.1				
DDX59	0.423	5.8502e-07		C0039685	Congenital Abnormality	0.1				
BRIP1	0.731	6.206e-17	DTO_05007624	C0039685	Congenital Abnormality	0.1				
SLX4	0.731	1.5676e-22		C0039685	Congenital Abnormality	0.1				
DISP1	0.692	8.8581e-08		C0039685	Congenital Abnormality	0.1				
KCNAB2	0.692	0.79978	DTO_01300327	C0039685	Congenital Abnormality	0.1				
BAZ1B	0.731	1.0		C0039685	Congenital Abnormality	0.1				
PIGL	0.731	6.178e-09		C0039685	Congenital Abnormality	0.1				
GTF2IRD1	0.769	0.90039		C0039685	Congenital Abnormality	0.1				
SEC24C	0.808	1.0	DTO_05007405	C0039685	Congenital Abnormality	0.1				
TTC37	0.654	1.725e-29		C0039685	Congenital Abnormality	0.1				
SEMA3E	0.769	8.7148e-09	DTO_05007599	C0039685	Congenital Abnormality	0.1				
TMEM94	0.654	2.7548e-14		C0039685	Congenital Abnormality	0.1				
FIG4	0.731	2.3423e-34		C0039685	Congenital Abnormality	0.1				
WASHC5	0.615	8.2703e-18	DTO_05007405	C0039685	Congenital Abnormality	0.1				
RBM8A	0.692	0.57268		C0039685	Congenital Abnormality	0.1				
VEGFA	0.923	2.4085e-05	DTO_05007599	C0039685	Congenital Abnormality	0.07	1.0		2006	2019
TBX20	0.346	0.97302	DTO_05007542	C0039685	Congenital Abnormality	0.06	1.0		2008	2019
CHDH	0.769	1.685e-06	DTO_05007624	C0039685	Congenital Abnormality	0.05	0.8		2016	2020
HAND1	0.308	0.10914		C0039685	Congenital Abnormality	0.05	0.8		2011	2017
GJA1	0.885	0.15523	DTO_05007527	C0039685	Congenital Abnormality	0.03	1.0		2005	2017
KDR	0.885	0.99982	DTO_03300101	C0039685	Congenital Abnormality	0.03	0.667		2006	2019
TGFB1	0.962	0.03685	DTO_05007599	C0039685	Congenital Abnormality	0.03	1.0		2014	2019
MIR1233-1	0.192			C0039685	Congenital Abnormality	0.02	0.5		2017	2018
HIF1A	0.923	0.9777	DTO_05007542	C0039685	Congenital Abnormality	0.02	1.0		2012	2019
APOE	0.962	0.0018685		C0039685	Congenital Abnormality	0.02	1.0		2008	2010
MMP9	0.923	1.8869e-17	DTO_05007624	C0039685	Congenital Abnormality	0.02	1.0		2011	2019
MTHFR	0.885	3.2068e-10		C0039685	Congenital Abnormality	0.02	1.0		2009	2018
NPPB	0.808	9.8786e-06		C0039685	Congenital Abnormality	0.02	1.0		2005	2007
PITX2	0.808	0.97618		C0039685	Congenital Abnormality	0.02	1.0		2016	2018
VANGL2	0.615	0.84283		C0039685	Congenital Abnormality	0.02	1.0		2008	2014
PVR	0.769	3.922e-10		C0039685	Congenital Abnormality	0.02	1.0		2018	2019
REN	0.923	2.4297e-07	DTO_05007624	C0039685	Congenital Abnormality	0.02	1.0		2017	2018
SULT1E1	0.808	1.9701e-07		C0039685	Congenital Abnormality	0.02	1.0		2017	2019
MIR421	0.692			C0039685	Congenital Abnormality	0.02	0.5		2017	2018
MBNL2	0.577	0.25602	DTO_05007557	C0039685	Congenital Abnormality	0.01	1.0		2015	2015
CXCR6	0.885	5.7212e-05	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
PPARGC1A	0.885	0.9973	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2010	2010
WWP2	0.615	0.16477	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2019	2019
BVES	0.308	9.343e-06		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
CRKL	0.769	0.44604		C0039685	Congenital Abnormality	0.01	1.0		2016	2016
CRP	0.962	0.0036969		C0039685	Congenital Abnormality	0.01	1.0		2018	2018
ADRA1A	0.846	3.3722e-07	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
ADRA2B	0.846	4.4533e-06	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
CYBA	0.769	8.8678e-06		C0039685	Congenital Abnormality	0.01	1.0		2007	2007
ACE	0.923	1.0344e-37	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2011	2011
DMD	0.923	1.0		C0039685	Congenital Abnormality	0.01	1.0		2002	2002
DNAH8	0.731	1.1489e-60	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2007	2007
DNMT1	0.885	1.0	DTO_05007378	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
DNMT3B	0.846	0.19964		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
DNTT	0.692	2.9548e-10	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2009	2009
AGT	0.923	4.9706e-08	DTO_05007584	C0039685	Congenital Abnormality	0.01	1.0		2018	2018
DVL2	0.577	1.3576e-05	DTO_05007599	C0039685	Congenital Abnormality	0.01	1.0		2018	2018
EDNRA	0.885	0.99158	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
EGF	0.923	8.5294e-17		C0039685	Congenital Abnormality	0.01	1.0		2009	2009
F2	0.885	0.0011118	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2009	2009
F5	0.846	5.919e-15	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2009	2009
ALDH2	0.885	3.3959e-10	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2012	2012
FBN1	0.846	1.0	DTO_05007616	C0039685	Congenital Abnormality	0.01	1.0		2008	2008
FBN2	0.808	1.0	DTO_05007616	C0039685	Congenital Abnormality	0.01	1.0		2015	2015
MMRN1	0.846	2.0714e-25		C0039685	Congenital Abnormality	0.01	1.0		2006	2006
DICER1	0.846	1.0	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2015	2015
SUN2	0.423	1.9389e-08	DTO_05007530	C0039685	Congenital Abnormality	0.01	1.0		2002	2002
AATF	0.731	2.5958e-12	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2014	2014
LAMP3	0.692	0.00026747	DTO_05007405	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
GPR42	0.846	0.050905	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
HAS2	0.692	0.99013		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
HOXA1	0.769	0.28514		C0039685	Congenital Abnormality	0.01	1.0		2012	2012
HTC2	0.808			C0039685	Congenital Abnormality	0.01	1.0		2014	2014
JARID2	0.577	0.99999	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2014	2014
LPA	0.769	6.5917e-89	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2018	2018
LRPAP1	0.731	4.4951e-07		C0039685	Congenital Abnormality	0.01	1.0		2002	2002
LSAMP	0.654	0.98742		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
MAP4	0.5	0.84782		C0039685	Congenital Abnormality	0.01	1.0		2018	2018
MBNL1	0.615	0.70579	DTO_05007557	C0039685	Congenital Abnormality	0.01	1.0		2015	2015
MEIS2	0.808	0.99938	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2016	2016
MMP2	0.923	0.83878	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2019	2019
MMP3	0.885	5.7362e-15	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2011	2011
MYL4	0.423	0.00012029	DTO_05007616	C0039685	Congenital Abnormality	0.01	1.0		1999	1999
NTRK3	0.692	0.9983	DTO_03300101	C0039685	Congenital Abnormality	0.01	1.0		2009	2009
MIR424	0.769			C0039685	Congenital Abnormality	0.01	1.0		2013	2013
OPRD1	0.731	0.0033233	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
PBX1	0.846	0.99527	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2008	2008
PBX3	0.5	0.36301	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2008	2008
CHMP5	0.192	0.0066514	DTO_05007405	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
PDGFA	0.731	0.80842	DTO_05007599	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
PECAM1	0.846		DTO_05007620	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
PFKL	0.269	2.702e-17	DTO_03300101	C0039685	Congenital Abnormality	0.01	1.0		2001	2001
PLN	0.577	0.44947		C0039685	Congenital Abnormality	0.01	0.0		2007	2007
DGCR8	0.731	0.99973		C0039685	Congenital Abnormality	0.01	1.0		2019	2019
FEZF2	0.577	0.9886		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
SLC50A1	0.538	0.0019259	DTO_05007405	C0039685	Congenital Abnormality	0.01	1.0		1991	1991
ACKR3	0.885	0.39134	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
PTH	0.846	0.012093		C0039685	Congenital Abnormality	0.01	1.0		1997	1997
MAVS	0.692	6.7045e-07		C0039685	Congenital Abnormality	0.01	1.0		2017	2017
RASA1	0.885	1.0	DTO_05007584	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
ROBO1	0.731	7.2696e-16		C0039685	Congenital Abnormality	0.01	1.0		2018	2018
ROCK1	0.731	1.0	DTO_03300101	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
RXRA	0.769	0.99852	DTO_00102000	C0039685	Congenital Abnormality	0.01	1.0		2014	2014
RYR2	0.615	0.99999	DTO_01300327	C0039685	Congenital Abnormality	0.01	0.0		2007	2007
ACSM3	0.615	1.441e-14	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2020	2020
TSPYL2	0.769	0.87393	DTO_05007584	C0039685	Congenital Abnormality	0.01	1.0		2002	2002
SLN	0.5	0.28701		C0039685	Congenital Abnormality	0.01	0.0		2007	2007
SNAI2	0.692	0.79531		C0039685	Congenital Abnormality	0.01	1.0		2006	2006
SMN1	0.769	0.015829	DTO_05007378	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
SMN2	0.769	0.10337		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
SSTR4	0.846	3.6978e-13	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
BRS3	0.846	0.94849	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
TADA2A	0.538	9.2222e-09	DTO_05007557	C0039685	Congenital Abnormality	0.01	1.0		2014	2014
TBX5	0.769	0.99954	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2014	2014
MIR625	0.654			C0039685	Congenital Abnormality	0.01	1.0		2017	2017
TCF21	0.692	0.82553		C0039685	Congenital Abnormality	0.01	1.0		2018	2018
ACTC1	0.538	0.73668	DTO_05007530	C0039685	Congenital Abnormality	0.01	1.0		2016	2016
TFAP2B	0.769	0.99023	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
TFAP2C	0.538	0.92204	DTO_05007542	C0039685	Congenital Abnormality	0.01	1.0		2008	2008
TTN	0.885	2.5582e-96	DTO_03300101	C0039685	Congenital Abnormality	0.01	1.0		2002	2002
VIM	0.846	0.71255		C0039685	Congenital Abnormality	0.01	1.0		2018	2018
BEST1	0.885	1.8214e-12	DTO_01300327	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
AVSD1	0.192			C0039685	Congenital Abnormality	0.01	1.0		2002	2002
WNT11	0.654	0.0064383	DTO_05007599	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
CAD	0.846	0.99993	DTO_05007624	C0039685	Congenital Abnormality	0.01	1.0		2019	2019
FSD1	0.808	0.25199		C0039685	Congenital Abnormality	0.01	1.0		2014	2014
CORO7	0.692	1.8292e-25	DTO_05007530	C0039685	Congenital Abnormality	0.01	1.0		2018	2018
FSD1L	0.808	0.23386		C0039685	Congenital Abnormality	0.01	1.0		2014	2014
IQGAP1	0.692	0.99754	DTO_05007584	C0039685	Congenital Abnormality	0.01	1.0		2019	2019
ALDH1A2	0.692	0.36331	DTO_05007624	C0039685	Congenital Abnormality	0.01	0.0		2009	2009
MBD2	0.846	0.34957	DTO_05007378	C0039685	Congenital Abnormality	0.01	1.0		2013	2013
LPAR2	0.846	0.036658	DTO_02300001	C0039685	Congenital Abnormality	0.01	1.0		2017	2017
CHD1L	0.577	1.0034e-36		C0039685	Congenital Abnormality	0.01	1.0		1999	1999
CD48	0.692	1.7302e-05		C0039685	Congenital Abnormality	0.01	1.0		2011	2011
RGS6	0.769	0.44191		C0039685	Congenital Abnormality	0.01	1.0		2013	2013
REC8	0.231	5.5411e-06		C0039685	Congenital Abnormality	0.01	1.0		1991	1991
SCO2	0.846	7.5473e-07	DTO_05007624	C0039685	Congenital Abnormality	0.01	0.0		2018	2018
DGCR	0.538			C0345065	Congenital Abnormality	0.01	1.0		1997	1997
TBX1	0.808	0.83661	DTO_05007542	C0345065	Congenital Abnormality	0.01	1.0		1997	1997
KCNJ4	0.385	0.9649	DTO_01300327	C1853238	Congenital Abnormality	0.1	1.0		2014	2014
SLC22A10	0.308	1.8871e-19		C1853238	Congenital Abnormality	0.1	1.0		2014	2014
EHMT1	0.808	1.0	DTO_05007378	C1853238	Congenital Abnormality	0.1				
MTHFR	0.885	3.2068e-10		C1853238	Congenital Abnormality	0.07	0.857		2003	2018
TBX1	0.808	0.83661	DTO_05007542	C1853238	Congenital Abnormality	0.07	0.714		1996	2018
GATA6	0.808	0.99709		C1853238	Congenital Abnormality	0.02	1.0		2014	2018
GLRX	0.577	5.6744e-07		C1853238	Congenital Abnormality	0.02	1.0		2018	2020
MTHFD1	0.769	0.0044614	DTO_05007624	C1853238	Congenital Abnormality	0.02	1.0		2012	2012
MTR	0.808	2.4301e-12		C1853238	Congenital Abnormality	0.02	1.0		2018	2019
NOS3	0.885	6.7246e-07		C1853238	Congenital Abnormality	0.02	1.0		2005	2011
NPPA	0.769	0.00054522		C1853238	Congenital Abnormality	0.02	1.0		2005	2012
CHDH	0.769	1.685e-06	DTO_05007624	C1853238	Congenital Abnormality	0.02	1.0		2007	2014
CHD7	0.846	1.0		C1853238	Congenital Abnormality	0.02	1.0		2013	2014
TGFB2	0.885	0.99905	DTO_05007599	C1853238	Congenital Abnormality	0.02	1.0		2013	2017
TYMS	0.846	0.72247	DTO_05007624	C1853238	Congenital Abnormality	0.02	1.0		2011	2012
NPPA-AS1	0.077			C1853238	Congenital Abnormality	0.01	1.0		2012	2012
CITED2	0.654	0.76271	DTO_05007542	C1853238	Congenital Abnormality	0.01	1.0		2017	2017
SLCO6A1	0.885	2.8807e-11	DTO_05007405	C1853238	Congenital Abnormality	0.01	1.0		2014	2014
CRKL	0.769	0.44604		C1853238	Congenital Abnormality	0.01	1.0		2015	2015
DGCR	0.538			C1853238	Congenital Abnormality	0.01	1.0		1996	1996
